Source,Preferred society name,Society id,Cross-dataset id,Original society name,eHRAF name,eHRAF code,Revised latitude,Revised longitude,Original latitude,Original longitude,Glottolog language/dialect id,Glottolog language/dialect name,ISO code,Language family
Binford Hunter-Gatherer,Kidutokado,B226,xd1157,Kidutokado (Surprise Valley Paiute) (B226),Northern Paiute,NR13,41.5,-120.06,41.5,-120.06,nort1551,North Northern Paiute,,Uto-Aztecan
Ethnographic Atlas,Kidutokado,Nd24,xd1157,Kidutokado (Nd24),Northern Paiute,NR13,42,-120,42,-120,nort1551,North Northern Paiute,,Uto-Aztecan
Ethnographic Atlas,Kiga,Ad13,xd80,Chiga (Ad13),,,-3,30,-3,30,chig1238,Chiga,cgg,Atlantic-Congo
Binford Hunter-Gatherer,Kija,B101,xd950,Lungga (B101),,,-16.91,127.83,-16.91,127.83,kitj1240,Kitja,gia,Jarrakan
Ethnographic Atlas,Comanche,Ne3,xd1222,Comanche (Ne3),Comanche,NO06,33,-100,33,-100,coma1245,Comanche,com,Uto-Aztecan
Ethnographic Atlas,Kikuyu,Ad4,xd109,Kikuyu (Ad4),Gikuyu,FL10,-1,37,-1,37,kiku1240,Kikuyu,kik,Atlantic-Congo
Standard cross-cultural sample,Kikuyu,SCCS11,xd109,Kikuyu (SCCS11),Gikuyu,FL10,-0.67,37.17,-0.67,37.17,kiku1240,Kikuyu,kik,Atlantic-Congo
Binford Hunter-Gatherer,Kiliwa,B146,xd1134,Kiliwa (B146),,,31.44,-115.25,31.44,-115.25,kili1268,Kiliwa,klb,Cochimi-Yuman
Western North American Indian database,Kiliwa,WNAI91,xd1134,Kaliwa (Hokan) (J91),,,31.5,-115,31.5,115,kili1268,Kiliwa,klb,Cochimi-Yuman
Ethnographic Atlas,Kiliwa,Nc34,xd1134,Kiliwa (Nc34),,,31,-115,31,-115,kili1268,Kiliwa,klb,Cochimi-Yuman
Ethnographic Atlas,Kimam,Ie18,xd794,Kimam (Ie18),,,-7.52,138.46,-7,138,kima1246,Kimaama,kig,Kolopom
Standard cross-cultural sample,Comanche,SCCS147,xd1222,Comanche (SCCS147),Comanche,NO06,34,-101.5,34,-101.5,coma1245,Comanche,com,Uto-Aztecan
Standard cross-cultural sample,Kimam,SCCS93,xd794,Kimam (SCCS93),,,-7.5,138.5,-7.5,138.5,kima1246,Kimaama,kig,Kolopom
Western North American Indian database,Kings River Western Mono,WNAI72,xd1122,Kings River Mono (Uto-Aztecan) (J72),,,36.7,-119,36.7,119,mono1275,Mono (USA),mnr,Uto-Aztecan
Western North American Indian database,Kings River Yokuts,WNAI74,xd1436,Kings River Yokuts (J74),Yokuts,NS29,36.8,-119.4,36.8,119.4,sout2955,Southern Foothill Yokuts,,Yokutsan
Binford Hunter-Gatherer,Kiowa,B243,xd1216,Kiowa (B243),,,36.9,-99.1,36.9,-99.1,kiow1266,Kiowa,kio,Kiowa-Tanoan
Ethnographic Atlas,Kiowa,Ne17,xd1216,Kiowa (Ne17),,,36,-99,36,-99,kiow1266,Kiowa,kio,Kiowa-Tanoan
Binford Hunter-Gatherer,Kiowa Apache,B244,xd1219,Kiowa Apache (B244),,,35.83,-98.9,35.83,-98.9,kiow1264,Kiowa Apache,apk,Athapaskan-Eyak-Tlingit
Ethnographic Atlas,Oyo Yoruba,Af6,xd240,Oyo Yoruba (Af6),Yoruba,FF62,8,4,8,4,ilaa1245,Ila (Yoruba),,Atlantic-Congo
Ethnographic Atlas,Kiowa Apache,Ne2,xd1219,Kiowa Apache (Ne2),,,36,-99,36,-99,kiow1264,Kiowa Apache,apk,Athapaskan-Eyak-Tlingit
Ethnographic Atlas,Kipsigis,Aj9,xd414,Kipsigis (Aj9),,,-1,36,-1,36,kips1239,Kipsigis,sgc,Nilotic
Ethnographic Atlas,Kisama,Ab21a,xd23,Kisama (Ab21a),,,-10,14,-10,14,sama1300,Sama,smd,Atlantic-Congo
Ethnographic Atlas,Kissi,Af2,xd197,Kissi (Af2),,,9,-10,9,-10,nort2765,Northern Kissi,kqs,Atlantic-Congo
Ethnographic Atlas,Kiwai,Ie13,xd789,Kiwai (Ie13),,,-9,143,-9,143,sout2949,Southern Kiwai,kjd,Kiwaian
Ethnographic Atlas,Chamba,Ah28,xd318,Chamba (Ah28),,,8,11,8,11,samb1305,Samba Leko,ndi,Atlantic-Congo
Ethnographic Atlas,Klahoose,Nb12,xd1071,Klahuse (Nb12),,,51,-125,51,-125,slia1241,Sliammon,,Salishan
Binford Hunter-Gatherer,Paakintji,B128,xd973,Barkindji (B128),,,-32.4,142.25,-32.4,142.25,darl1243,Paakantyi,drl,Pama-Nyungan
Western North American Indian database,Klahoose,WNAI14,xd1071,Klahuse Salish (J14),,,50.5,-124.5,50.5,124.5,slia1241,Sliammon,,Salishan
Ethnographic Atlas,Klallam,Nb16,xd1075,Klallam (Nb16),,,48,-123,48,-123,clal1241,Clallam,clm,Salishan
Binford Hunter-Gatherer,Klallam,B285,xd1075,Clallam (B285),,,47.95,-123.55,47.95,-123.55,clal1241,Clallam,clm,Salishan
Western North American Indian database,Klallam,WNAI22,xd1075,Klallam Salish (J22),,,47.95,-123.55,48.2,123.2,clal1241,Clallam,clm,Salishan
Ethnographic Atlas,Bijogo,Ag18,xd253,Bijogo (Ag18),,,11.1,-16.15,11,-16,bidy1244,Kangaki-Kagbaaga-Kajoko Bidyogo,bjg,Atlantic-Congo
Ethnographic Atlas,Beni-Amer,Ca36,xd444,Beni Amer (Ca36),,,18,38,18,38,mans1267,Mansa',,Afro-Asiatic
Ethnographic Atlas,Bombesa,Ae36,xd156,Bombesa (Ae36),,,1,23,1,23,mbes1238,Mbesa,zms,Atlantic-Congo
Binford Hunter-Gatherer,Bohogue,B229,xd1180,Bohogue (Northern Shoshoni) (B229),,,43,-112,43,-112,nort2955,Northern Shoshoni,,Uto-Aztecan
Ethnographic Atlas,Bgu,Ie34,xd812,Bgu (Ie34),,,-2.34,139.6,-2,140,bong1287,Bonggo,bpg,Austronesian
Ethnographic Atlas,Bororo,Si1,xd1397,Bororo (Si1),Bororo,SP08,-16,-55,-16,-55,boro1282,Bororo,bor,Bororoan
Ethnographic Atlas,Besermyan,ch13,xd550,Besermyan (ch13),,,58,52,58,52,nort2676,North Udmurt,,Uralic
Standard cross-cultural sample,Punjabi,SCCS59,xd600,Punjabi (West) (SCCS59),,,32.5,74,32.5,74,panj1256,Eastern Panjabi,pan,Indo-European
Binford Hunter-Gatherer,Bororo,B41,xd1397,Bororo (B41),Bororo,SP08,-16,-55,16.52,-55,boro1282,Bororo,bor,Bororoan
Ethnographic Atlas,Boki,Af17,xd194,Boki (Af17),,,6,9,6,9,boky1238,Bokyi,bky,Atlantic-Congo
Ethnographic Atlas,Betsileo,Eh10,xd687,Betsileo (Eh10),,,-22,47,-22,47,bets1235,Betsileo,,Austronesian
Ethnographic Atlas,Anak Dalam,Ib8,xd757,Kubu (Ib8),,,-3,103,-3,103,kubu1239,Kubu,kvb,Austronesian
Ethnographic Atlas,Messiria Humr,Cb15,xd464,Messiria Humr (Cb15),,,11,28,11,28,west2773,Western Sudanese,,Afro-Asiatic
Ethnographic Atlas,Bobo,Ag30,xd267,Bobo (Ag30),,,13,-4,13,-4,nort2819,Northern Bobo Madaré,bbo,Mande
Ethnographic Atlas,Bena,Ad11,xd78,Bena (Ad11),Bena,FN31,-9,36,-9,36,bena1262,Bena (Tanzania),bez,Atlantic-Congo
Ethnographic Atlas,Purari,Ie8,xd822,Purari (Ie8),,,-7,145,-7,145,pura1257,Purari,iar,Purari
Ethnographic Atlas,Beraber,Cd7,xd525,Beraber (Cd7),,,33,-7,33,-7,cent2194,Central Moroccan Berber,tzm,Afro-Asiatic
Ethnographic Atlas,Bisayan,Ia18,xd741,Bisayan (Ia18),,,10,123,10,123,akla1241,Aklanon,akl,Austronesian
Binford Hunter-Gatherer,Beaver,B344,xd1045,Beaver (B344),,,58.51,-115.76,58.51,-115.76,beav1236,Beaver,bea,Athapaskan-Eyak-Tlingit
Ethnographic Atlas,Bemba,Ac3,xd55,Bemba (Ac3),Bemba,FQ05,-11,31,-11,31,town1238,Town Bemba,,Atlantic-Congo
Binford Hunter-Gatherer,Blackfoot,B256,xd1211,Blackfoot (B256),Blackfoot,NF06,51.01,-110.76,51.01,-110.76,pieg1239,Piegan,,Algic
Ethnographic Atlas,Beatty,Nd33,xd1167,Beatty (Nd33),,,37,-116,37,-116,pana1305,Panamint,par,Uto-Aztecan
Ethnographic Atlas,Purum,Ei6,xd712,Purum (Ei6),,,25,94,25,94,puru1266,Purum,pub,Sino-Tibetan
Ethnographic Atlas,Boers,Cf2,xd537,Boers (Cf2),,,-16,28,-16,28,afri1274,Afrikaans,afr,Indo-European
Ethnographic Atlas,Bubi,Ae44,xd165,Bubi (Ae44),,,3.54,8.72,4,9,bube1242,Bube,bvb,Atlantic-Congo
Ethnographic Atlas,Biafada,Ag17,xd252,Biafada (Ag17),,,12,-15,12,-15,biaf1240,Biafada,bif,Atlantic-Congo
Ethnographic Atlas,Bomvana,Ab21b,xd24,Bomvana (Ab21b),,,-32,28,-32,28,bomv1238,Bomvana,,Atlantic-Congo
Standard cross-cultural sample,Andamanese,SCCS79,xd686,Andamanese (SCCS79),Andamans,AZ02,12,93,11.75,93.08,akab1249,Aka-Bea,abj,Great Andamanese
Ethnographic Atlas,Bitterroot Salish,Nd12,xd1144,Flathead (Nd12),Southeast,NR19,46,-113,46,-113,kali1309,Kalispel,,Salishan
Ethnographic Atlas,Puyallup,Nb17,xd1076,Puyallup (Nb17),,,47,-122,47,-122,sout2965,Southern Puget Sound Salish,slh,Salishan
Standard cross-cultural sample,Bemba,SCCS7,xd55,Bemba (SCCS7),Bemba,FQ05,-10.5,30.5,-10.5,30.5,town1238,Town Bemba,,Atlantic-Congo
Ethnographic Atlas,Buduma,Cb5,xd482,Buduma (Cb5),,,13,15,13,15,budu1265,Buduma,bdm,Afro-Asiatic
Ethnographic Atlas,Builsa,Ag38,xd275,Builsa (Ag38),,,11,-2,11,-2,buli1254,Buli (Ghana),bwu,Atlantic-Congo
Ethnographic Atlas,Blackfoot,Ne12,xd1211,Blackfoot (Ne12),Blackfoot,NF06,51,-112,51,-112,pieg1239,Piegan,,Algic
Binford Hunter-Gatherer,Mikea,B66,xd928,Mikea (B66),,,-22.32,43.81,-22.32,43.81,masi1268,Masikoro Malagasy,msh,Austronesian
Ethnographic Atlas,Beaver,Na29,xd1045,Beaver (Na29),,,58,-117,58,-117,beav1236,Beaver,bea,Athapaskan-Eyak-Tlingit
Ethnographic Atlas,Ancient Romans,Ce3,xd530,Romans (Ce3),Imperial Romans,EI09,42,12,42,12,lati1261,Latin,lat,Indo-European
Western North American Indian database,Puyallup,WNAI25,xd1076,Puyallup Salish (J25),,,47.1,-122.5,47.1,122.5,sout2965,Southern Puget Sound Salish,slh,Salishan
Binford Hunter-Gatherer,Bear Creek Northern Paiute,B223,xd994,Bear Creek Paiute (B223),,,43.94,-120.49,43.94,-120.49,nort1551,North Northern Paiute,,Uto-Aztecan
Ethnographic Atlas,Ami,Ia9,xd749,Ami (Ia9),,,22.7,121.05,22,121,amis1246,Amis,ami,Austronesian
Ethnographic Atlas,Bontok,Ia8,xd748,Bontok (Ia8),,,17,121,17,121,cent2292,Central Bontoc,lbk,Austronesian
Ethnographic Atlas,Budu,Ae31,xd151,Budu (Ae31),,,2,28,2,28,budu1250,Budu,buu,Atlantic-Congo
Ethnographic Atlas,Mi'kmaq,Na41,xd1058,Micmac (Na41),Mi'kmaq,NJ05,47,-65,47,-65,mikm1235,Mi'kmaq,mic,Algic
Ethnographic Atlas,Bisa,Ag53,xd292,Bisa (Ag53),,,12,0,12,0,biss1248,Bissa,bib,Mande
Ethnographic Atlas,Blin,Ca37,xd445,Bogo (Ca37),,,16,36,16,36,bili1260,Bilin,byn,Afro-Asiatic
Binford Hunter-Gatherer,Puyallup,B270,xd1076,Puyallup (B270),,,47.11,-122.04,47.11,-122.04,sout2965,Southern Puget Sound Salish,slh,Salishan
Ethnographic Atlas,Bira,Ae30,xd150,Bira (Ae30),,,1,29,1,29,bila1255,Bila,bip,Atlantic-Congo
Ethnographic Atlas,Bozo,Ag7,xd295,Bozo (Ag7),,,14,-5,14,-5,tiey1235,Tiéyaxo Bozo,boz,Mande
Binford Hunter-Gatherer,Bitterroot Salish,B330,xd1144,Flathead (B330),Southeast,NR19,46.28,-113.26,46.28,-113.26,kali1309,Kalispel,,Salishan
Ethnographic Atlas,Bende,Ad18,xd85,Bende (Ad18),,,-7,31,-7,31,bend1258,Bende,bdp,Atlantic-Congo
Standard cross-cultural sample,Mi'kmaq,SCCS126,xd1058,Micmac (SCCS126),Mi'kmaq,NJ05,46.99,-65,46,-63,mikm1235,Mi'kmaq,mic,Algic
Ethnographic Atlas,Buem,Af37,xd216,Buem (Af37),,,7.22,0.46,3,1,siwu1238,Siwu,akp,Atlantic-Congo
Binford Hunter-Gatherer,Birhor,B18,xd911,Birhor (B18),,,23.41,84.38,23.41,84.38,birh1242,Birhor,biy,Austroasiatic
Ethnographic Atlas,Puyuma,Ia11,xd734,Puyuma (Ia11),,,23,121,23,121,puyu1239,Puyuma,pyu,Austronesian
Ethnographic Atlas,Bilaan,Ia17,xd740,Bilaan (Ia17),,,6,125,6,125,koro1310,Koronadal Blaan,bpr,Austronesian
Ethnographic Atlas,Bihari,Ef10,xd662,Bihari (Ef10),Bihar,AW02,25,86,25,86,mait1250,Maithili,mai,Indo-European
Ethnographic Atlas,Bengali,Ef2,xd664,Bengali (Ef2),Bengali,AW69,23,88,23,88,beng1280,Bengali,ben,Indo-European
Ethnographic Atlas,Ancient Khmer,Ej15,xd722,Khmer (Ej15),,,13,104,13,104,nucl1298,Nuclear Central Khmer,,Austroasiatic
Standard cross-cultural sample,Aimoré,SCCS178,xd1413,Botocudo (SCCS178),,,-19,-42.5,-19,-42.5,kren1239,Krenak,kqq,Nuclear-Macro-Je
Ethnographic Atlas,Anaguta,Ah9,xd336,Anaguta (Ah9),,,10,9,10,9,igut1238,Iguta,nar,Atlantic-Congo
Standard cross-cultural sample,Bribri,SCCS157,xd1321,Bribri (SCCS157),Talamancans,SA19,9,-83.25,9,-83.25,brib1243,Bribri,bzd,Chibchan
Ethnographic Atlas,Qashqui,Ea12,xd599,Quahgai (Ea12),,,30,52,30,52,qash1240,Qashqa'i,qxq,Turkic
Ethnographic Atlas,Bongo,Ai35,xd365,Bongo (Ai35),,,7,29,7,29,bong1285,Bongo,bot,Central Sudanic
Ethnographic Atlas,Brazilians,Cf4,xd539,Brazilians (Cf4),,,-23.68,-46.64,-43,-47,braz1246,Brazilian Portuguese,,Indo-European
Ethnographic Atlas,Budja,Ae37,xd157,Budja (Ae37),,,3,23,3,23,budz1238,Budza,bja,Atlantic-Congo
Standard cross-cultural sample,Blin,SCCS38,xd445,Bogo (SCCS38),,,15.75,38.75,15.75,38.75,bili1260,Bilin,byn,Afro-Asiatic
Ethnographic Atlas,Ajie,Ih5,xd871,Ajie (Ih5),,,-21.37,165.47,-22,165,ajie1238,Ajië,aji,Austronesian
Ethnographic Atlas,Beta Israel,Ca31,xd439,Falasha (Ca31),,,12,37,12,37,qima1242,Qimant,ahg,Afro-Asiatic
Ethnographic Atlas,Bisharin,Ca5,xd453,Bisharin (Ca5),,,20,35,20,35,bish1251,Bisharin,,Afro-Asiatic
Ethnographic Atlas,Quechan,Nh22,xd1273,Yuma (Nh22),,,33,-114,33,-114,quec1382,Quechan,yum,Cochimi-Yuman
Ethnographic Atlas,Bororo Fulani,Cb8,xd485,Bororo Fulani (Cb8),,,13,5,13,5,boro1274,Bororo (Atlantic Congo),,Atlantic-Congo
Ethnographic Atlas,Bergdama,Aa4,xd4,Bergdama (Aa4),,,-22,16,-22,16,dama1270,Damara,,Khoe-Kwadi
Ethnographic Atlas,Birifor,Ag5,xd288,Birifor (Ag5),,,10,-3,10,-3,sout2790,Southern Birifor,biv,Atlantic-Congo
Ethnographic Atlas,Bohogue,Nd45,xd1180,Bohogue (Nd45),,,43,-112,43,-112,nort2955,Northern Shoshoni,,Uto-Aztecan
Ethnographic Atlas,Minangkabau,Ib6,xd755,Minangkabau (Ib6),,,-1,101,-1,101,mina1268,Minangkabau,min,Austronesian
Western North American Indian database,Bitterroot Salish,WNAI105,xd1144,Flathead (J105),Southeast,NR19,47.5,-114,47.5,114,kali1309,Kalispel,,Salishan
Ethnographic Atlas,Bhil,Ef5,xd667,Bhil (Ef5),Bhil,AW25,22,74,22,74,bhil1251,Bhili,bhb,Indo-European
Western North American Indian database,Quechan,WNAI141,xd1273,Yuma (J141),,,32.7,-114.5,32.7,114.5,quec1382,Quechan,yum,Cochimi-Yuman
Ethnographic Atlas,Bodi,Aj18,xd393,Bodi (Aj18),,,5,35,5,35,meen1242,Me'en,mym,Surmic
Ethnographic Atlas,Bribri,Sa5,xd1321,Bribri (Sa5),Talamancans,SA19,9,-83,9,-83,brib1243,Bribri,bzd,Chibchan
Binford Hunter-Gatherer,Mahaguaduka,B218,xd1169,Reese River Shoshoni (B218),Western,NT22,39.25,-117.32,39.25,-117.32,west2622,Western Shoshoni,,Uto-Aztecan
Ethnographic Atlas,Minchia,Ed8,xd651,Minchia (Ed8),,,26,100,26,100,cent2004,Central Bai,bca,Sino-Tibetan
Ethnographic Atlas,Maidu,Nc12,xd1110,Maidu (Nc12),,,40,-121,40,-121,nort2952,Northeast Maidu,nmu,Maiduan
Western North American Indian database,Maidu,WNAI56,xd1110,Mountain Maidu (J56),,,40.2,-121,40.2,121,nort2952,Northeast Maidu,nmu,Maiduan
Western North American Indian database,Quileute,WNAI26,xd1077,Quileute Chimakuan (J26),,,47.9,-124.3,47.9,124.3,quil1240,Quileute,qui,Chimakuan
Binford Hunter-Gatherer,Maidu,B185,xd1110,Mountain Maidu (B185),,,40.28,-120.56,40.28,-120.56,nort2952,Northeast Maidu,nmu,Maiduan
Ethnographic Atlas,Mailu,Ie21,xd798,Mailu (Ie21),,,-10,149,-10,149,mail1248,Mailu,mgu,Mailuan
Ethnographic Atlas,Majuro,If3,xd834,Majuro (If3),Marshalls,OR11,7.09,171.13,7,171,rata1243,Ratak,,Austronesian
Binford Hunter-Gatherer,Makah,B286,xd1084,Makah (B286),Nootka,NE11,48.22,-124.58,48.22,-124.58,maka1318,Makah,myh,Wakashan
Ethnographic Atlas,Min Chinese,Ed6,xd649,Min Chinese (Ed6),,,24,115,24,115,minn1241,Min Nan Chinese,nan,Sino-Tibetan
Ethnographic Atlas,Makah,Nb24,xd1084,Makah (Nb24),Nootka,NE11,48.33,-124.62,48,-125,maka1318,Makah,myh,Wakashan
Western North American Indian database,Makah,WNAI13,xd1084,Makah Nootkan (J13),Nootka,NE11,48.33,-124.62,48.5,124.7,maka1318,Makah,myh,Wakashan
Ethnographic Atlas,Quileute,Nb18,xd1077,Quileute (Nb18),,,47.91,-124.59,48,-125,quil1240,Quileute,qui,Chimakuan
Ethnographic Atlas,Makin,If14,xd829,Makin (If14),,,3.38,172.99,3,173,bana1287,Banaban,,Austronesian
Standard cross-cultural sample,Makin,SCCS107,xd829,Gilbertese (SCCS107),,,3.38,172.99,3.5,172.33,bana1287,Banaban,,Austronesian
Ethnographic Atlas,Makonde,Ac41,xd68,Makonde (Ac41),,,-11,40,-11,40,mako1251,Makonde,kde,Atlantic-Congo
Ethnographic Atlas,Makua,Ac42,xd69,Makua (Ac42),,,-15,39,-15,39,makh1264,Makhuwa,vmw,Atlantic-Congo
Ethnographic Atlas,Minianka,Ag31,xd268,Minianka (Ag31),,,12,-6,12,-6,mama1271,Mamara Senoufo,myk,Atlantic-Congo
Ethnographic Atlas,Malays,Ej8,xd730,Malays (Ej8),Malays,AN05,5,103,5,103,mala1479,Colloquial Malay,zlm,Austronesian
Ethnographic Atlas,Male,Ca22,xd429,Male (Ca22),,,6,37,6,37,male1284,Male (Ethiopia),mdy,Ta-Ne-Omotic
Binford Hunter-Gatherer,Quileute,B284,xd1077,Quileute (B284),,,47.77,-124.14,47.77,-124.14,quil1240,Quileute,qui,Chimakuan
Ethnographic Atlas,Malinke,Ag9,xd297,Malinke (Ag9),,,11,-9,11,-9,west2500,Western Maninkakan,mlq,Mande
Ethnographic Atlas,Mam,Sa8,xd1324,Mam (Sa8),Mam Maya,NW08,15,-92,15,-92,mamm1241,Mam,mam,Mayan
Ethnographic Atlas,Mambila,Ah4,xd331,Mambila (Ah4),,,7,12,7,12,came1252,Cameroon Mambila,mcu,Atlantic-Congo
Ethnographic Atlas,Mambwe,Ac43,xd70,Mambwe (Ac43),,,9,32,9,32,mamb1296,Mambwe-Lungu,mgr,Atlantic-Congo
Ethnographic Atlas,Minnesota Ojibwa,Na36,xd1052,Chippewa (Na36),Ojibwa,NG06,49,-96,49,-96,redl1238,Red Lake Chippewa,,Algic
Binford Hunter-Gatherer,Mamu,B105,xd954,Mamu (B105),,,-17.64,145.84,-17.64,145.84,mamu1253,Mamu,,Pama-Nyungan
Ethnographic Atlas,Mamvu,Ai5,xd379,Mamvu (Ai5),,,3,29,3,29,mamv1243,Mamvu,mdi,Central Sudanic
Ethnographic Atlas,Quinault,Nb25,xd1085,Quinault (Nb25),Quinault,NR17,47.42,-124.16,47,-124,quin1251,Quinault,qun,Salishan
Ethnographic Atlas,Man,Ed14,xd641,Man (Ed14),,,22,105,22,105,kimm1245,Kim Mun,mji,Hmong-Mien
Ethnographic Atlas,Manam,Ie29,xd806,Manam (Ie29),,,-4.08,145.03,-4,145,mana1295,Manam,mva,Austronesian
Standard cross-cultural sample,Manchu,SCCS115,xd646,Manchu (SCCS115),Manchu,AG01,50,125.5,50,125.5,manc1252,Manchu,mnc,Tungusic
Ethnographic Atlas,Manchu,Ed3,xd646,Manchu (Ed3),Manchu,AG01,45,126,45,126,manc1252,Manchu,mnc,Tungusic
Ethnographic Atlas,Miriam,Ie14,xd790,Miriam (Ie14),,,-9.91,144.06,-10,144,meri1244,Meriam,ulk,Eastern Trans-Fly
Ethnographic Atlas,Mandan,Ne6,xd1225,Mandan (Ne6),Mandan,NQ17,47,-101,47,-101,mand1446,Mandan,mhq,Siouan
Ethnographic Atlas,Mandja,Ai24,xd353,Mandja (Ai24),,,6,18,6,18,manz1243,Manza,mzv,Atlantic-Congo
Western North American Indian database,Acoma,WNAI161,xd1263,Acoma (J161),,,35,-107.5,35,107.5,acom1246,Acoma,,Keresan
Ethnographic Atlas,Mangaians,Ij1,xd889,Mangaians (Ij1),,,-21.93,-157.91,-22,-158,raro1241,Rarotongan,rar,Austronesian
Ethnographic Atlas,Mangarevans,Ij7,xd896,Mangarevans (Ij7),,,-23.12,-134.97,-20,-134,mang1401,Mangareva,mrv,Austronesian
Ethnographic Atlas,Mangbetu,Ai11,xd339,Mangbetu (Ai11),,,3,28,3,28,nucl1420,Nuclear Mangbetu,,Central Sudanic
Ethnographic Atlas,Manihikians,Ij4,xd893,Manihikians (Ij4),,,-10.41,-160.98,-10,-160,raka1237,Rakahanga-Manihiki,rkh,Austronesian
Binford Hunter-Gatherer,Mirniny,B132,xd976,Mineng (B132),,,-34.95,117.81,-34.95,117.81,ngad1258,Ngadjunmaya,nju,Pama-Nyungan
Ethnographic Atlas,Manobo,Ia15,xd738,Manobo (Ia15),,,8,126,8,126,west2555,Western Bukidnon Manobo,mbb,Austronesian
Ethnographic Atlas,Manprusi,Ag46,xd284,Manprusi (Ag46),,,10,-1,10,-1,mamp1244,Mampruli,maw,Atlantic-Congo
Binford Hunter-Gatherer,Quinault,B278,xd1085,Quinault (B278),Quinault,NR17,47.38,-123.82,47.38,-123.82,quin1251,Quinault,qun,Salishan
Ethnographic Atlas,Mansi,ec15,xd623,Mansi (ec15),,,63,62,63,62,mans1258,Northern Mansi,mns,Uralic
Ethnographic Atlas,Manus,Ig9,xd861,Manus (Ig9),Manus,OM06,-2,147,-2,147,tita1241,Titan,ttv,Austronesian
Standard cross-cultural sample,Manus,SCCS96,xd861,Manus (SCCS96),Manus,OM06,-2.17,147.17,-2.17,147.17,tita1241,Titan,ttv,Austronesian
Ethnographic Atlas,Mao,Ai47,xd378,Mao (Ai47),,,9,35,9,35,hozo1236,Hozo,hoz,Blue Nile Mao
Binford Hunter-Gatherer,Mirrngadja,B85,xd940,Mirrngadja (B85),,,-12.31,135.2,-12.31,135.2,djin1252,Djinba,djb,Pama-Nyungan
Standard cross-cultural sample,Mao,SCCS32,xd378,Mao (SCCS32),,,9.27,34.67,9.27,34.67,hozo1236,Hozo,hoz,Blue Nile Mao
Ethnographic Atlas,Māori,Ij2,xd891,Maori (Ij2),Maori,OZ04,-38.41,176.31,-35,175,maor1246,Maori,mri,Austronesian
Standard cross-cultural sample,Rade,SCCS74,xd717,Rhade (SCCS74),,,13,108,13,108,rade1240,Rade,rad,Austronesian
Standard cross-cultural sample,Māori,SCCS104,xd891,Maori (SCCS104),Maori,OZ04,-35.33,174.17,-35.33,174.17,maor1246,Maori,mri,Austronesian
Ethnographic Atlas,Mapuche,Sg2,xd1384,Mapuche (Sg2),Aracuanians,SG04,-39,-68,-39,-68,mapu1245,Mapudungun,arn,Araucanian
Standard cross-cultural sample,Mapuche,SCCS184,xd1384,Mapuche (SCCS184),Aracuanians,SG04,-38.5,-72.58,-38.5,-72.58,mapu1245,Mapudungun,arn,Araucanian
Ethnographic Atlas,Maras,Ei4,xd710,Lakher (Ei4),,,22,93,22,93,mara1382,Mara Chin,mrh,Sino-Tibetan
Standard cross-cultural sample,Miskito,SCCS156,xd1325,Miskito (SCCS156),Miskito,SA15,15,-83,15,-83,misk1235,Mískito,miq,Misumalpan
Standard cross-cultural sample,Maras,SCCS70,xd710,Lakher (SCCS70),,,22.33,93,22.33,93,mara1382,Mara Chin,mrh,Sino-Tibetan
Binford Hunter-Gatherer,Mardudjara,B111,xd958,Mardudjara (B111),,,-22.79,125.06,-22.79,125.06,mart1256,Martu Wangka,mpj,Pama-Nyungan
Ethnographic Atlas,Rade,Ej10,xd717,Rhade (Ej10),,,13,108,13,108,rade1240,Rade,rad,Austronesian
Ethnographic Atlas,Margi,Ah5,xd332,Margi (Ah5),,,11,13,11,13,marg1265,Marghi Central,mrt,Afro-Asiatic
Ethnographic Atlas,Mari,Ch4,xd568,Cheremis (Ch4),,,43,46,43,46,east2328,Eastern Mari,mhr,Uralic
Ethnographic Atlas,Maricopa,Nh5,xd1281,Maricopa (Nh5),River,NT15,33,-113,33,-113,mari1440,Maricopa,mrc,Cochimi-Yuman
Western North American Indian database,Maricopa,WNAI144,xd1281,Maricopa (J144),River,NT15,33.3,-112.5,33.3,112.5,mari1440,Maricopa,mrc,Cochimi-Yuman
Ethnographic Atlas,Alagya,Af44,xd224,Alagya (Af44),,,5.22,-4.42,5,-4,alla1248,Alladian,ald,Atlantic-Congo
Ethnographic Atlas,Marind-Amin,Ie19,xd795,Marindamin (Ie19),,,-8,139,-8,139,nucl1622,Marind,mrz,Anim
Standard cross-cultural sample,Marquesans,SCCS105,xd892,Marquesans (SCCS105),Marquesas,OX06,-8.92,-140.17,-8.92,-140.17,nort2845,North Marquesan,mrq,Austronesian
Ethnographic Atlas,Railroad Valley Shoshoni,Nd37,xd1171,Hamilton (Nd37),Western,NT22,39,-116,39,-116,west2622,Western Shoshoni,,Uto-Aztecan
Ethnographic Atlas,Marquesans,Ij3,xd892,Marquesans (Ij3),Marquesas,OX06,-8.9,-140.08,-9,-140,nort2845,North Marquesan,mrq,Austronesian
Ethnographic Atlas,Marri,Ea10,xd597,Marri (Ea10),,,30,69,30,69,east2304,Eastern Balochi,bgp,Indo-European
Standard cross-cultural sample,Marshallese,SCCS108,xd832,Marshallese (SCCS108),Marshallese,OR11,6.28,169.49,6,168.5,rata1243,Ratak,,Austronesian
